annee_reference;indicator_id;domain;territoire;perimeter_id;value;unit;source_primary;source_detail;source_file;source_page;coverage_status;quality_status;record_role;population_millesime;definition;note
2023;EP_VOLUME_PRELEVE_LOCAL;EAU_POTABLE;CACEM;CACEM_EPCI;15400582.0;m³/an;RAD_RPQS;ODYSSI_BILAN;Bilan ODYSSI 2023.pdf;29;COMPLETE;OK;DIAGNOSTIC;;;BNPE reste source primaire des prélèvements.
2023;P301.3;ANC;CAESM;CAESM_EPCI;;%;RAD_RPQS;CAESM_SPANC;RPQS SPANC 2023.pdf;2;NOT_APPLICABLE;NOT_CALCULABLE;DIAGNOSTIC;;;D302.0 = 70 (<100), le RPQS indique que P301.3 ne doit pas être calculé.
2023;D301.0_LOCAL;ANC;CAP_NORD;CAP_NORD_EPCI;96187;habitants;RAD_RPQS;CAPNORD_SPANC;RPQS SPANC 2023(1).pdf;3;COMPLETE;METHODOLOGY_TO_REVIEW;DIAGNOSTIC;;;La valeur correspond à une population INSEE ancienne du territoire et semble surestimer la population réellement en ANC.
2023;P301.3_PUBLISHED;ANC;CAP_NORD;CAP_NORD_EPCI;28.0;%;RAD_RPQS;CAPNORD_SPANC;RPQS SPANC 2023(1).pdf;9;COMPLETE;SOURCE_CALCULATION_ERROR;AUDIT;;;"Valeur publiée 2023 ; 4801/18322 = 26,20 %. Le RPQS 2024 corrige rétrospectivement 2023 à 26,20 %."
2023;P301.3;ANC;CAP_NORD;CAP_NORD_EPCI;26.203471236764546;%;RAD_RPQS;CAPNORD_SPANC;RPQS SPANC 2023(1).pdf;9;COMPLETE;REVISED_BY_LATER_SOURCE;PRODUCTION;;;Valeur recalculée et confirmée par le RPQS 2024.
2023;P104.3;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;51.53;%;RAD_RPQS;RAD;RAD_Eau_potable_CAP_NORD_2023.pdf;66;COMPLETE;REVISED_LATER;AUDIT;;Rendement du réseau du contrat CAP Nord publié dans le RAD 2023.;Le RAD 2024 révise la valeur historique 2023 à 53,17 %.
2023;P104.3_REVISED;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;53.17;%;RAD_RPQS;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;48;COMPLETE;REVISED_BY_LATER_SOURCE;PRODUCTION;;Rendement 2023 révisé tel que repris dans le RAD 2024.;Ne pas écraser la publication initiale.
2023;P104.3_REPORTED_RT;EAU_POTABLE;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;80.63;%;RAD_RPQS;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=831713;34;COMPLETE;PERIMETER_SCOPE_AMBIGUOUS;DIAGNOSTIC;;Valeur RPQS libellée Robert-Trinité / ex-SICSM.;Proche du rendement technique de l'ensemble Ex-SICSM, alors que le RAD dit l'indicateur non ventilable.
2023;EP_VOLUME_VENDU_RPQS;EAU_POTABLE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;3824167;m³/an;RAD_RPQS;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=831713;11;COMPLETE;OK;DIAGNOSTIC;;Volumes vendus aux abonnés « 16 communes » au RPQS.;Écart de 25 m3 avec le tableau clientèle du RAD.
2023;RES_007;RESSOURCE;Martinique;MARTINIQUE;29;nb;BNPE;Nombre d'ouvrages AEP présents dans BNPE;mart_bnpe_indicateurs_2023.csv;;COMPLETE;INCOMPLETE_INVENTORY;DIAGNOSTIC;;;BNPE non exhaustive pour le comptage des captages.
2023;RES_008;RESSOURCE;Martinique;MARTINIQUE;13;nb;BNPE;Nombre d'ouvrages AEP CONT présents dans BNPE;mart_bnpe_indicateurs_2023.csv;;COMPLETE;INCOMPLETE_INVENTORY;DIAGNOSTIC;;;BNPE non exhaustive pour le comptage des captages.
2023;RES_009;RESSOURCE;Martinique;MARTINIQUE;16;nb;BNPE;Nombre d'ouvrages AEP SOUT présents dans BNPE;mart_bnpe_indicateurs_2023.csv;;COMPLETE;INCOMPLETE_INVENTORY;DIAGNOSTIC;;;BNPE non exhaustive pour le comptage des captages.
